onset_sparse,onset_dense,offset_dense,onset_trial_like,offset_trial_like
0.0,0.0,0.061232,0.0,0.068943
0.14,0.12,0.19762,0.11,0.167106
12.14,0.24,0.302077,0.21,0.269399
12.28,0.36,0.421535,0.32,0.386771
24.28,0.48,0.545724,0.43,0.503636
24.42,0.6,0.659961,0.55,0.603479
36.42,0.72,0.767407,80.0,80.050279
36.56,0.84,0.90614,80.11,80.173308
36.7,0.96,1.005037,80.21,80.281069
,1.08,1.121727,80.32,80.368425
,1.2,1.257536,80.43,80.493885
,1.32,1.376723,80.55,80.611146
,1.44,1.479441,160.0,160.051513
,1.56,1.617031,160.11,160.160779
,1.68,1.730347,160.21,160.267662
,1.8,1.866425,160.32,160.375528
,1.92,1.980193,160.43,160.496674
,2.04,2.105749,160.55,160.589229
,2.16,2.212918,240.0,240.054768
,2.28,2.35297,240.11,240.151492
,2.4,2.465318,240.21,240.257634
,2.52,2.579709,240.32,240.380952
,2.64,2.668349,240.43,240.490552
,2.76,2.828823,240.55,240.613605
,2.88,2.934786,,
,3.0,3.059576,,
,8.3,8.358509,,
,8.42,8.492069,,
,8.54,8.585104,,
,8.66,8.726832,,
,8.78,8.842562,,
,8.9,8.958837,,
,9.02,9.090374,,
,9.14,9.211596,,
,9.26,9.32328,,
,9.38,9.441418,,
,9.5,9.559667,,
,9.62,9.684166,,
,9.74,9.806831,,
,9.86,9.926659,,
,9.98,10.032636,,
,10.1,10.15594,,
,10.22,10.271878,,
,10.34,10.425567,,
,10.46,10.538956,,
,10.58,10.63438,,
,10.7,10.760186,,
,10.82,10.87403,,
,10.94,11.019637,,
,16.24,16.313659,,
,16.36,16.435097,,
,16.48,16.5375,,
,16.6,16.654671,,
,16.72,16.795551,,
,16.84,16.905814,,
,16.96,17.023602,,
,17.08,17.12541,,
,17.2,17.27879,,
,17.32,17.384406,,
,17.44,17.511834,,
,17.56,17.628486,,
,17.68,17.74538,,
,17.8,17.865749,,
,17.92,17.988255,,
,18.04,18.099414,,
,18.16,18.226574,,
,18.28,18.347376,,
,18.4,18.459174,,
,18.52,18.550535,,
,18.64,18.691576,,
,23.94,23.983979,,
,24.06,24.101855,,
,24.18,24.227361,,
,24.3,24.366782,,
,24.42,24.483185,,
,24.54,24.608055,,
,24.66,24.72317,,
,24.78,24.851141,,
,24.9,24.958295,,
,25.02,25.085332,,
,25.14,25.19712,,
,25.26,25.307753,,
,25.38,25.445912,,
,25.5,25.560727,,
,25.62,25.68689,,
,25.74,25.809102,,
,25.86,25.933405,,
,25.98,26.035276,,
,26.1,26.176853,,
,31.4,31.467763,,
,31.52,31.586416,,
,31.64,31.720735,,
,31.76,31.823662,,
,31.88,31.943228,,
,32.0,32.059323,,
,32.12,32.189134,,
,32.24,32.292893,,
,32.36,32.421595,,
,32.48,32.540525,,
,32.6,32.667649,,
,32.72,32.786584,,
,32.84,32.898807,,
,32.96,33.015985,,
,33.08,33.156137,,
,33.2,33.256672,,
,33.32,33.373625,,
,38.62,38.673814,,
,38.74,38.790688,,
,38.86,38.924041,,
,38.98,39.034465,,
,39.1,39.155518,,
,39.22,39.274553,,
,39.34,39.390619,,
,39.46,39.515329,,
,39.58,39.654159,,
,39.7,39.758877,,
,39.82,39.889399,,
,39.94,39.99927,,
,40.06,40.124578,,
,40.18,40.242089,,
,40.3,40.36868,,
,45.6,45.666763,,
,45.72,45.765035,,
,45.84,45.913876,,
,45.96,46.009636,,
,46.08,46.139798,,
,46.2,46.266335,,
,46.32,46.381778,,
,46.44,46.50384,,
,46.56,46.63138,,
,46.68,46.736666,,
,46.8,46.858589,,
,46.92,47.002283,,
,47.04,47.114899,,
,47.16,47.231346,,
,52.46,52.512351,,
,52.58,52.635193,,
,52.7,52.75087,,
,52.82,52.897061,,
,52.94,52.979273,,
,53.06,53.126502,,
,53.18,53.236192,,
,53.3,53.361222,,
,53.42,53.485359,,
,53.54,53.608892,,
,53.66,53.691257,,
,53.78,53.8225,,
,59.08,59.152241,,
,59.2,59.25694,,
,59.32,59.371236,,
,59.44,59.518515,,
,59.56,59.621019,,
,59.68,59.735647,,
,59.8,59.863937,,
,59.92,59.978924,,
,60.04,60.103847,,
,60.16,60.212097,,
