onset_clean,offset_clean,onset_ibi_boundary,offset_ibi_boundary,onset_longlick_boundary,offset_longlick_boundary
0.0,0.089586,0.0,0.056444,0.2,0.52
0.12,0.173035,0.12,0.194812,1.02,1.4
0.24,0.286072,0.24,0.313048,1.9,2.35
0.37,0.425065,0.36,0.423067,2.8499999999999996,3.37
0.49,0.534719,0.48,0.522432,3.8699999999999997,4.49
0.61,0.676417,0.6,0.666619,4.99,5.71
0.74,0.802151,0.72,0.791543,6.21,7.03
0.86,0.932593,0.84,0.901599,7.529999999999999,8.45
0.98,1.037595,0.96,1.035717,8.95,9.3
1.11,1.176491,1.08,1.147565,9.799999999999999,10.35
1.23,1.275603,1.2,1.26786,10.85,12.05
1.35,1.396866,1.32,1.361863,12.549999999999999,15.35
1.48,1.528169,1.44,1.503452,15.849999999999998,21.35
1.6,1.679577,1.56,1.620601,21.849999999999998,34.15
1.72,1.775667,1.68,1.729659,34.65,63.15
1.85,1.896552,2.83,2.882825,68.65,68.702158
1.97,2.038704,2.95,3.006853,68.77,68.832532
2.09,2.144083,3.07,3.128404,68.89,68.947126
2.22,2.278958,3.19,3.254169,69.02,69.093024
2.34,2.405677,3.31,3.356769,69.14,69.205197
2.46,2.517036,3.43,3.498083,69.26,69.320134
2.59,2.646655,3.55,3.620696,69.39,69.446132
2.71,2.772038,3.67,3.739895,69.51,69.549984
2.83,2.88781,3.79,3.852779,69.63,69.682355
8.03,8.088825,3.91,3.958333,69.76,69.810488
8.16,8.230862,4.03,4.094522,69.88,69.933355
8.28,8.343277,4.15,4.19143,70.0,70.077483
8.4,8.459749,4.27,4.334021,73.5,73.566039
8.53,8.589485,4.39,4.444109,73.63,73.688729
8.65,8.706086,4.51,4.564055,73.75,73.813598
8.77,8.813229,4.63,4.690686,73.87,73.951227
8.9,8.959546,4.75,4.814845,74.0,74.045555
9.02,9.082581,4.87,4.946454,74.12,74.180281
9.14,9.195979,5.92,5.993906,74.24,74.292112
9.27,9.335318,6.04,6.102124,74.37,74.42936
9.39,9.454811,6.16,6.231133,74.49,74.562255
9.51,9.557732,6.28,6.328962,74.61,74.665347
9.64,9.706217,6.4,6.457698,74.74,74.8066
9.76,9.829564,6.52,6.579947,74.86,74.918536
9.88,9.94746,6.64,6.688294,74.98,75.029809
10.01,10.078012,6.76,6.805501,75.11,75.180805
10.13,10.190421,6.88,6.934265,78.61,78.678354
10.25,10.30128,7.0,7.074522,78.73,78.776188
10.38,10.444,7.12,7.186114,78.85,78.916292
10.5,10.555963,7.24,7.320782,78.98,79.03517
15.7,15.758444,7.59,7.652963,79.1,79.144766
15.82,15.893145,7.71,7.76147,79.22,79.262851
15.95,16.011398,7.83,7.870966,79.35,79.410041
16.07,16.132984,7.95,8.023852,79.47,79.525527
16.19,16.246606,8.07,8.134378,79.59,79.645152
16.32,16.38562,8.19,8.263093,79.72,79.775979
16.44,16.501587,8.31,8.3651,79.84,79.896872
16.56,16.632565,8.43,8.487646,83.34,83.404188
16.69,16.762094,8.55,8.604129,83.46,83.516467
16.81,16.878331,8.67,8.719837,83.59,83.648802
16.93,16.993177,8.79,8.847399,83.71,83.786537
17.06,17.123346,8.91,8.967435,83.83,83.900839
17.18,17.225675,9.03,9.105886,83.96,84.009608
17.3,17.359564,9.15,9.193817,84.08,84.153588
17.43,17.490783,9.27,9.326508,84.2,84.263788
17.55,17.608606,9.39,9.453463,84.33,84.391944
17.67,17.727777,9.51,9.574805,84.45,84.515336
17.8,17.878333,9.63,9.686465,84.57,84.630851
17.92,18.000382,9.75,9.816934,84.7,84.768231
23.12,23.180982,9.87,9.919781,84.82,84.875839
23.24,23.289479,10.29,10.36241,88.32,88.373427
23.37,23.42607,10.41,10.46555,88.44,88.508651
23.49,23.537136,10.53,10.589563,88.57,88.635453
23.61,23.6742,10.65,10.713182,88.69,88.750362
23.74,23.802203,10.77,10.828505,88.81,88.850658
23.86,23.93412,10.89,10.961102,88.94,89.002703
23.98,24.027249,11.01,11.078932,89.06,89.108233
24.11,24.158917,11.13,11.18953,89.18,89.245067
24.23,24.307942,11.25,11.30325,89.31,89.37095
24.35,24.426489,11.37,11.429418,89.43,89.488726
24.48,24.537802,11.49,11.553293,89.55,89.608455
24.6,24.661016,11.61,11.668997,89.68,89.744207
24.72,24.786634,11.73,11.793524,93.18,93.242992
24.85,24.922931,11.85,11.916847,93.3,93.364822
24.97,24.998809,13.05,13.096481,93.42,93.459816
30.17,30.244283,13.17,13.223534,93.55,93.617025
30.29,30.334118,13.29,13.35006,93.67,93.723777
30.42,30.474369,13.41,13.480487,93.79,93.858761
30.54,30.588995,13.53,13.585267,93.92,93.996449
30.66,30.707575,13.65,13.715092,94.04,94.087644
30.79,30.852171,13.77,13.818476,94.16,94.206787
30.91,30.978008,13.89,13.926575,94.29,94.351096
31.03,31.077309,14.01,14.061631,94.41,94.463276
31.16,31.215789,14.13,14.207267,97.91,97.982765
31.28,31.352307,14.25,14.306108,98.03,98.085443
31.4,31.46171,14.37,14.415417,98.16,98.201667
31.53,31.600433,14.49,14.538029,98.28,98.346565
31.65,31.697028,14.61,14.677167,98.4,98.462226
31.77,31.83902,14.73,14.786337,98.53,98.609516
31.9,31.967963,14.85,14.920782,98.65,98.718701
37.1,37.161469,15.88,15.919117,98.77,98.835559
37.22,37.301943,16.0,16.059714,98.9,98.94437
37.34,37.386904,16.12,16.16908,99.02,99.089756
