Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,On1A1,On1A2,On1A3,On1A4,Off1A1,Off1A2,Off1A3,Off1A4
,,30 lickometer w bins,,8,,4202,0.000,0,0,0,0,0,0,0,0,0,0,0
,,30 lickometer w bins,,8,,4202,0.005,0,1,0,0,0,0,0,0,0,0,0
,,30 lickometer w bins,,8,,4202,19.180,1,0,0,1,0,0,0,0,0,0,0
,,30 lickometer w bins,,8,,4202,19.220,1,0,0,0,0,0,0,1,0,0,0
,,30 lickometer w bins,,8,,4202,19.295,1,2,1,1,0,0,0,0,0,0,0
,,30 lickometer w bins,,8,,4202,19.330,2,0,0,0,0,0,0,1,0,0,0
,,30 lickometer w bins,,8,,4202,19.735,2,0,0,1,0,0,0,0,0,0,0
,,30 lickometer w bins,,8,,4202,19.775,2,0,0,0,0,0,0,1,0,0,0
,,30 lickometer w bins,,8,,4202,19.955,2,0,0,1,0,0,0,0,0,0,0
,,30 lickometer w bins,,8,,4202,19.995,2,0,0,0,0,0,0,1,0,0,0
,,30 lickometer w bins,,8,,4202,43.795,2,0,0,1,0,0,0,0,0,0,0
,,30 lickometer w bins,,8,,4202,43.830,2,0,0,0,0,0,0,1,0,0,0
,,30 lickometer w bins,,8,,4202,43.845,2,0,0,1,0,0,0,0,0,0,0
,,30 lickometer w bins,,8,,4202,43.885,2,0,0,0,0,0,0,1,0,0,0
,,30 lickometer w bins,,8,,4202,44.005,2,0,0,1,0,0,0,0,0,0,0
,,30 lickometer w bins,,8,,4202,44.045,2,0,0,0,0,0,0,1,0,0,0
,,30 lickometer w bins,,8,,4202,44.225,2,0,0,1,0,0,0,0,0,0,0
,,30 lickometer w bins,,8,,4202,44.265,2,0,0,0,0,0,0,1,0,0,0
,,30 lickometer w bins,,8,,4202,44.365,2,0,0,1,0,0,0,0,0,0,0
,,30 lickometer w bins,,8,,4202,44.405,2,0,0,0,0,0,0,1,0,0,0
,,30 lickometer w bins,,8,,4202,44.470,2,0,0,1,0,0,0,0,0,0,0
,,30 lickometer w bins,,8,,4202,44.510,2,0,0,0,0,0,0,1,0,0,0
,,30 lickometer w bins,,8,,4202,45.455,2,0,0,1,0,0,0,0,0,0,0
,,30 lickometer w bins,,8,,4202,45.495,2,0,0,0,0,0,0,1,0,0,0
,,30 lickometer w bins,,8,,4202,46.485,2,0,0,1,0,0,0,0,0,0,0
,,30 lickometer w bins,,8,,4202,46.525,2,0,0,0,0,0,0,1,0,0,0
,,30 lickometer w bins,,8,,4202,46.615,2,0,0,1,0,0,0,0,0,0,0
,,30 lickometer w bins,,8,,4202,46.655,2,0,0,0,0,0,0,1,0,0,0
,,30 lickometer w bins,,8,,4202,46.750,2,0,0,1,0,0,0,0,0,0,0
,,30 lickometer w bins,,8,,4202,46.790,2,0,0,0,0,0,0,1,0,0,0
,,30 lickometer w bins,,8,,4202,48.815,2,0,0,1,0,0,0,0,0,0,0
,,30 lickometer w bins,,8,,4202,48.855,2,0,0,0,0,0,0,1,0,0,0
,,30 lickometer w bins,,8,,4202,48.865,2,0,0,1,0,0,0,0,0,0,0
,,30 lickometer w bins,,8,,4202,48.905,2,0,0,0,0,0,0,1,0,0,0
,,30 lickometer w bins,,8,,4202,50.025,2,0,0,1,0,0,0,0,0,0,0
,,30 lickometer w bins,,8,,4202,50.060,2,0,0,0,0,0,0,1,0,0,0
,,30 lickometer w bins,,8,,4202,50.080,2,0,0,1,0,0,0,0,0,0,0
,,30 lickometer w bins,,8,,4202,50.120,2,0,0,0,0,0,0,1,0,0,0
,,30 lickometer w bins,,8,,4202,50.915,2,0,0,1,0,0,0,0,0,0,0
,,30 lickometer w bins,,8,,4202,50.955,2,0,0,0,0,0,0,1,0,0,0
,,30 lickometer w bins,,8,,4202,51.085,2,0,0,0,0,0,0,1,0,0,0
,,30 lickometer w bins,,8,,4202,51.235,2,0,0,1,0,0,0,0,0,0,0
,,30 lickometer w bins,,8,,4202,51.270,2,0,0,0,0,0,0,1,0,0,0
,,30 lickometer w bins,,8,,4202,51.500,2,0,0,1,0,0,0,0,0,0,0
,,30 lickometer w bins,,8,,4202,51.540,2,0,0,0,0,0,0,1,0,0,0
,,30 lickometer w bins,,8,,4202,51.640,2,0,0,1,0,0,0,0,0,0,0
,,30 lickometer w bins,,8,,4202,51.675,2,0,0,0,0,0,0,1,0,0,0
